Reference,Authors,Publication year,After_Included,BA_Included,CI_Included,BACI_Included,RCI_Included,RBACI_Included,After_Excluded,BA_Excluded,CI_Excluded,BACI_Excluded,RCI_Excluded,RBACI_Excluded,After_total,BA_total,CI_total,BACI_total,RCI_total,RBACI_total,After_prop,BA_prop,CI_prop,BACI_prop,RCI_prop,RBACI_prop
Spier et al. 2016,"Elizabeth Spier, Pia Britto, Terri Pigott, Eugene Roehlkapartain, Michael McCarthy, Yael Kidron, Mengli Song, Peter Scales, Dan Wagner, Julia Lane, Janis Glover",2016,0,0,3,8,1,0,4,0,1,1,0,0,4,0,4,9,1,0,0.222222222,0,0.222222222,0.5,0.055555556,0
De La Rue et al. 2014,"Lisa De La Rue, Joshua R. Polanin, Dorothy L. Espelage, Terri D. Pigott",2014,0,0,2,11,10,0,22,0,0,0,0,0,22,0,2,11,10,0,0.488888889,0,0.044444444,0.244444444,0.222222222,0
Coren et al. 2016a,"Esther Coren, Rosa Hossain, Jordi Pardo Pardo and Brittany Bakker",2016,0,0,1,1,11,0,14,0,8,0,2,0,14,0,9,1,13,0,0.378378378,0,0.243243243,0.027027027,0.351351351,0
Graham et al. 2016,"Carolyn Graham, Michael West, Jessica Bourdon, Katherine J. Inge",2016,0,0,0,0,3,0,6,2,0,0,0,0,6,2,0,0,3,0,0.545454545,0.181818182,0,0,0.272727273,0
Welch et al. 2016,"Vivian A. Welch, Elizabeth Ghogomu, Alomgir Hossain, Shally Awasthi, Zulfi Bhutta, Chisa Cumberbatch, Robert Fletcher, Jessie McGowan, Shari Krishnaratne, Elizabeth Kristjansson, Salim Sohani, Shalini Suresh, Peter Tugwell, Howard White and George Wells",2019,0,0,4,1,38,9,0,1,4,1,9,0,0,1,8,2,47,9,0,0.014925373,0.119402985,0.029850746,0.701492537,0.134328358
Maynard et al. 2015,"Brandy R. Maynard, Kristen E. Brendel, Jeffery J. Bulanda, David Heyne, Aaron M. Thompson & Therese D. Pigott",2015,0,0,0,2,0,6,24,0,1,0,0,0,24,0,1,2,0,6,0.727272727,0,0.03030303,0.060606061,0,0.181818182
Filges et al. 2015,"Trine Filges, Edith Montgomery, Marianne Kastrup, Anne Marie Klint Jørgensen",2015,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0
Samii et al. 2014a,"Cyrus Samii, Matthew Lisiecki, Parashar Kulkarni, Laura Paler and Larry Chavis",2014,0,0,10,1,0,0,3,0,0,0,0,0,3,0,10,1,0,0,0.214285714,0,0.714285714,0.071428571,0,0
Turner et al. 2018,"Herbert Turner, Mackson Ncube, Annette Turner, Robert Boruch, Nneka Ibekwe",2018,0,0,11,0,4,0,9,1,5,2,0,0,9,1,16,2,4,0,0.28125,0.03125,0.5,0.0625,0.125,0
Fleming et al. 2019,"Padraic Fleming, Sinead McGilloway, Marian Hernon, Mairead Furlong, Siobhain O’Doherty, Fiona Keogh, Tim Stainton",2019,0,0,3,1,0,3,31,3,7,0,0,0,31,3,10,1,0,3,0.645833333,0.0625,0.208333333,0.020833333,0,0.0625
Maynard et al. 2017,"Brandy R. Maynard, Michael R. Solis, Veronica L. Miller, and Kristen E. Brendel",2017,8,9,19,0,26,0,9,0,1,0,0,0,17,9,20,0,26,0,0.236111111,0.125,0.277777778,0,0.361111111,0
Rohwer et al. 2017,"Anke Rohwer, Nkengafac Villyen Motaze, Eva Rehfuess, and Taryn Young",2017,0,0,2,2,6,14,10,0,0,0,0,0,10,0,2,2,6,14,0.294117647,0,0.058823529,0.058823529,0.176470588,0.411764706
Rivas et al. 2016,"Carol Rivas, Jean Ramsay, Laura Sadowski, Leslie Davidson, Danielle Dunne, Sandra Eldridge, Kelsey Hegarty, Angela Taft, Gene Feder",2016,0,0,0,0,13,0,11,12,4,2,5,0,11,12,4,2,18,0,0.234042553,0.255319149,0.085106383,0.042553191,0.382978723,0
Augustincic Polec et al. 2015,"Lana Augustincic Polec, Jennifer Petkovic, Vivian Welch, Erin Ueffing, Elizabeth Tanjong Ghogomu, Jordi Pardo Pardo, Mark Grabowsky, Amir Attaran, George A Wells, Peter Tugwell",2015,0,0,0,1,9,0,2,0,2,1,1,0,2,0,2,2,10,0,0.125,0,0.125,0.125,0.625,0
Iemmi et al. 2015,"Valentina Iemmi, Lorna Gibson, Karl Blanchet, K Suresh Kumar, Santosh Rath, Sally Hartley, Gudlavalleti VS Murthy, Vikram Patel, Joerg Weber, Hannah Kuper",2015,0,1,2,2,3,7,28,0,0,0,0,0,28,1,2,2,3,7,0.651162791,0.023255814,0.046511628,0.046511628,0.069767442,0.162790698
Brody et al. 2015,"Carinne Brody, Thomas de Hoop, Martina Vojtkova, Ruby Warnock, Megan Dunbar, Padmini Murthy, Shari L. Dworkin",2015,0,0,16,0,6,0,4,0,6,0,1,0,4,0,22,0,7,0,0.121212121,0,0.666666667,0,0.212121212,0
Walsh et al. 2015,"Kerryann Walsh, Karen Zwi, Sue Woolfenden, Aron Shlonsky",2015,0,0,19,0,4,0,5,13,6,11,0,0,5,13,25,11,4,0,0.086206897,0.224137931,0.431034483,0.189655172,0.068965517,0
Kristjansson et al. 2015,"Elizabeth Kristjansson, Damian K Francis, Selma Liberato, Maria Benkhalti Jandu, Vivian Welch, Malek Batal, Trish Greenhalgh, Tamara Rader, Eamonn Noonan, Beverley Shea, Laura Janzen, George A Wells, Mark Petticrew",2015,0,0,3,11,20,1,1,2,4,0,0,0,1,2,7,11,20,1,0.023809524,0.047619048,0.166666667,0.261904762,0.476190476,0.023809524
Barlow et al. 2015,"Jane Barlow, Cathy Bennett, Nick Midgley, Soili K. Larkin, Yinghui Wei",2015,0,0,0,0,7,1,20,0,3,0,5,0,20,0,3,0,12,1,0.555555556,0,0.083333333,0,0.333333333,0.027777778
Lindstrøm et al. 2015,"Maia Lindstrøm, Madina Saidj, Krystyna Kowalski, Trine Filges, Pernille Skovbo Rasmussen, Anne-Marie Klint Jørgensen",2015,0,0,0,0,2,0,5,0,0,0,0,0,5,0,0,0,2,0,0.714285714,0,0,0,0.285714286,0
Filges et al. 2015,"Trine Filges, Geir Smedslund, Anne-Sofie Due Knudsen, Anne-Marie Klint Jørgensen",2015,0,10,14,0,15,0,0,0,2,0,0,0,0,10,16,0,15,0,0,0.243902439,0.390243902,0,0.365853659,0
Fong et al. 2015,"Carlton J. Fong, Kathleen M. Murphy, John D. Westbrook, Minda M. Markle",2015,0,0,4,0,8,0,7,0,0,0,0,0,7,0,4,0,8,0,0.368421053,0,0.210526316,0,0.421052632,0
Reichow et al. 2014,"Brian Reichow, Erin E Barton, Brian A Boyd, Kara Hume",2014,0,0,4,0,1,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0.857142857,0,0.142857143,0
Clare & Gurusamy et al. 2014,Clare Toon & Kurinchi Gurusamy,2014,0,3,5,0,0,0,9,0,0,0,0,0,9,3,5,0,0,0,0.529411765,0.176470588,0.294117647,0,0,0
Harada et al. 2019,"Takayuki Harada, Hiroshi Tsutomi, Rintaro Mori, David Wilson",2019,0,0,0,0,2,0,0,0,14,0,1,0,0,0,14,0,3,0,0,0,0.823529412,0,0.176470588,0
Parker & Turner et al. 2013,"Ben Parker, William Turner",2013,0,0,0,0,0,0,0,2,5,4,2,0,0,2,5,4,2,0,0,0.153846154,0.384615385,0.307692308,0.153846154,0
Fellmeth et al. 2013  ,Gracia LT Fellmeth  Catherine Heffernan  Joanna Nurse  Shakiba Habibula  Dinesh Sethi,2013,0,0,0,0,37,1,4,0,14,0,0,0,4,0,14,0,37,1,0.071428571,0,0.25,0,0.660714286,0.017857143
Lindstrøm et al. 2013,Maia Lindstrøm  Madina Saidj  Krystyna Kowalski  Trine Filges  Pernille Skovbo Rasmussen  Anne?Marie Klint Jørgensen,2013,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,2,1,0.25,0,0,0,0.5,0.25
Petrosino et al. 2013,Anthony Petrosino  Carolyn Turpin?Petrosino  Meghan E. Hollis?Peel  Julia G. Lavenberg,2013,0,0,0,0,9,0,13,4,5,0,0,0,13,4,5,0,9,0,0.419354839,0.129032258,0.161290323,0,0.290322581,0
Filges et al. 2013,Trine Filges  Lars Pico Geerdsen  Anne?Sofie Due Knudsen  Anne?Marie Klint Jørgensen  Krystyna Kowalski,2013,39,0,8,0,0,0,0,0,0,0,0,0,39,0,8,0,0,0,0.829787234,0,0.170212766,0,0,0
Thomson et al. 2013,Hilary Thomson  Siân Thomas  Eva Sellström  Mark Petticrew,2013,2,9,0,17,5,0,0,0,5,0,0,0,2,9,5,17,5,0,0.052631579,0.236842105,0.131578947,0.447368421,0.131578947,0
Regehr et al. 2013,Cheryl Regehr  Ramona Alaggia  Jane Dennis  Annabel Pitts  Michael Saini,2013,0,0,2,0,4,0,9,2,0,0,0,0,9,2,2,0,4,0,0.529411765,0.117647059,0.117647059,0,0.235294118,0
